,LABEL,TRACK_START,TRACK_STOP,TRACK_ID,POSITION_X,POSITION_Y,POSITION_T,FRAME
75,Track_0,0.0,202.0,0,67.14684976946333,85.54665168801556,0.0,0
361,Track_2,0.0,328.0,2,95.10841291945432,62.089167670656025,0.0,0
606,Track_7,0.0,74.0,7,110.49092850878928,50.17493743637361,0.0,0
759,Track_9,0.0,169.0,9,130.10593131573944,91.542944327781,0.0,0
879,Track_10,0.0,198.0,10,115.2546643213148,78.7854115208835,0.0,0
1122,Track_15,0.0,157.0,15,119.94288503005723,61.22015286907816,0.0,0
1319,Track_24,0.0,353.0,24,97.02674134266942,78.02172567894492,0.0,0
1629,Track_27,0.0,152.0,27,140.56456740149926,79.37378032504844,0.0,0
1747,Track_28,0.0,215.0,28,111.42304549208184,61.454627668012336,0.0,0
1985,Track_29,0.0,136.0,29,141.64733923995735,51.08615425277472,0.0,0
2003,Track_30,0.0,142.0,30,122.60878919760098,94.1170115676295,0.0,0
2242,Track_33,0.0,371.0,33,75.37736305677313,74.18866430018764,0.0,0
2569,Track_35,0.0,414.0,35,101.997187812096,119.47096651883766,0.0,0
2991,Track_36,0.0,231.0,36,82.96108505762254,92.71743750699571,0.0,0
3224,Track_37,0.0,224.0,37,100.66137292683709,112.97018534742656,0.0,0
3574,Track_38,0.0,359.0,38,77.39157655754508,86.88550177096593,0.0,0
3814,Track_42,0.0,252.0,42,94.57534900777047,118.29987568320482,0.0,0
4074,Track_44,0.0,231.0,44,90.51949346308396,85.43326375113752,0.0,0
4298,Track_47,0.0,499.0,47,126.45566106423679,40.133239107005984,0.0,0
4883,Track_49,0.0,174.0,49,142.7882271574485,86.65110460252562,0.0,0
4998,Track_50,0.0,198.0,50,110.32922957738758,75.74017295650631,0.0,0
5196,Track_51,0.0,256.0,51,130.92875292706339,77.05648466807169,0.0,0
5447,Track_52,0.0,278.0,52,134.78038397094505,85.56246367951454,0.0,0
5715,Track_53,0.0,499.0,53,122.4547477325077,75.83173658043067,0.0,0
6199,Track_55,0.0,193.0,55,126.62563121556873,48.20730116214607,0.0,0
6376,Track_57,0.0,92.0,57,81.91467635432411,61.73081203235925,0.0,0
6489,Track_58,0.0,201.0,58,103.74489859596818,127.94806955484603,0.0,0
6692,Track_63,0.0,214.0,63,90.81235113782557,100.13554861176527,0.0,0
6968,Track_66,0.0,171.0,66,144.5524730213742,74.2807266237048,0.0,0
7141,Track_67,0.0,372.0,67,94.57997588074456,91.19220487148223,0.0,0
7451,Track_71,0.0,386.0,71,117.57587279145083,100.78718024188058,0.0,0
7887,Track_72,0.0,279.0,72,100.7571684383267,55.707844219488756,0.0,0
8149,Track_73,0.0,499.0,73,126.5929666542032,83.04550025245736,0.0,0
8674,Track_74,0.0,144.0,74,110.38239287715034,115.81422630582378,0.0,0
8816,Track_75,0.0,270.0,75,118.95774706503823,45.29327273161134,0.0,0
9090,Track_76,0.0,177.0,76,118.75942645485203,70.61920776252532,0.0,0
9236,Track_78,0.0,232.0,78,97.06153801844933,125.9459863334955,0.0,0
9537,Track_79,0.0,354.0,79,81.25501552643254,81.11222238934965,0.0,0
9836,Track_80,0.0,499.0,80,116.59528519669836,94.49705574468166,0.0,0
10337,Track_82,0.0,271.0,82,100.76396825513771,89.66258933145599,0.0,0
10618,Track_85,0.0,151.0,85,125.9101091966278,56.6095608078087,0.0,0
10745,Track_88,0.0,414.0,88,105.51134408905135,73.69245943668025,0.0,0
11073,Track_126,16.0,190.0,126,111.445199254386,107.02734453235502,16.0,16
11541,Track_148,20.0,316.0,148,117.95136472336323,109.54126547026272,20.0,20
11632,Track_161,24.0,144.0,161,66.50557667946669,73.20444225269561,24.0,24
11695,Track_193,31.0,280.0,193,103.04040877511427,84.7616268355435,31.0,31
12087,Track_217,38.0,482.0,217,106.64282122486681,65.29855351916237,38.0,38
12507,Track_218,38.0,446.0,218,102.31776878049898,62.77808986129339,38.0,38
12898,Track_226,40.0,179.0,226,106.69792606199591,58.589893439990774,40.0,40
13079,Track_229,41.0,258.0,229,117.23632583576584,51.877127737253616,41.0,41
13211,Track_261,52.0,181.0,261,146.17686420240213,60.14080369972781,52.0,52
13313,Track_275,56.0,316.0,275,90.58386750256449,66.1887019849631,56.0,56
13777,Track_290,61.0,499.0,290,110.80950740175602,90.60018314959136,61.0,61
14031,Track_301,64.0,499.0,301,95.0937607020602,69.63009642457556,64.0,64
14501,Track_357,78.0,185.0,357,139.40928416383917,93.9759661386647,78.0,78
14750,Track_359,79.0,330.0,359,80.89590049106522,102.48650302590751,79.0,79
14785,Track_487,107.0,240.0,487,100.67846458987684,103.08015648821954,107.0,107
14949,Track_498,109.0,242.0,498,104.47755868565177,104.89693060153716,109.0,109
15161,Track_505,111.0,402.0,505,72.15602070671099,80.41932557437187,111.0,111
15336,Track_538,120.0,202.0,538,81.32813921500023,61.84208301934405,120.0,120
15552,Track_576,130.0,373.0,576,85.31032682727398,67.5331969887484,130.0,130
15886,Track_625,144.0,499.0,625,123.1798965044395,94.3545515375949,144.0,144
16085,Track_731,171.0,278.0,731,129.5496175838554,93.79400491524171,171.0,171
16287,Track_755,176.0,499.0,755,99.67604039128722,67.90119615355631,176.0,176
16487,Track_761,176.0,251.0,761,110.53274076344616,68.8861987243434,176.0,176
16586,Track_872,209.0,345.0,872,124.12604627620374,63.022819569173485,209.0,209
16645,Track_880,213.0,319.0,880,146.30868705284314,75.49182140552487,213.0,213
16808,Track_889,214.0,310.0,889,149.8736622091949,64.79782151830688,214.0,214
16911,Track_906,217.0,334.0,906,107.93395330901849,55.36711856146822,217.0,217
17100,Track_907,218.0,449.0,907,60.47192846579608,78.74907747812684,218.0,218
17342,Track_957,232.0,499.0,957,117.11516506034849,31.18493287235317,232.0,232
17496,Track_965,234.0,350.0,965,90.51646871961258,76.66971480717523,234.0,234
17637,Track_981,238.0,349.0,981,140.77470286614732,94.57123400688867,238.0,238
17748,Track_984,239.0,320.0,984,94.60382633957163,130.80503213370358,239.0,239
17898,Track_1019,252.0,419.0,1019,110.65479792993267,69.43374155977004,252.0,252
18063,Track_1187,306.0,435.0,1187,85.60185036408764,102.98920285024722,306.0,306
18125,Track_1324,351.0,499.0,1324,113.43432088697946,48.749322557320355,351.0,351
18314,Track_1327,352.0,499.0,1327,140.16631187759512,87.0671662440026,352.0,352
18419,Track_1355,362.0,489.0,1355,134.9864049043435,72.03328499381136,362.0,362
