,Euclidean_distance,DTW_distance,kmeans_clusters,hierarchical_clusters
Track_1522,89.36708308397667,75.38542727353718,1,1
Track_1612,564.1781935168008,355.6148045270985,1,0
Track_1384,147.11294144385667,214.18790005103563,1,0
Track_2934,364.4025824335939,372.64309841378133,1,0
Track_36,92.48350012250653,68.57122618909469,0,0
Track_1989,314.9791226850066,191.54809762174744,0,0
Track_9,1089.9220239373174,573.44121539655,0,0
Track_1496,133.19803745998692,136.5436938662335,1,0
Track_356,75.82413098421921,78.12890845081355,0,0
Track_3712,73.39628048742107,56.53373756002618,0,0
Track_2443,238.12068864054305,169.81846186190833,0,0
Track_1066,103.79833523709445,89.09831696369423,0,0
Track_2708,76.66677705027116,57.11745680024501,0,0
Track_1215,184.23281148225192,244.1621164674103,0,0
Track_3285,190.4916707472079,157.51978842006505,1,0
Track_189,144.12348500784077,61.928905930435306,1,1
Track_787,97.3497833510476,103.73594423057972,0,0
Track_110,551.4060209658871,581.2729406924939,0,0
Track_2107,355.02978611789393,341.2840973815759,0,0
Track_497,123.09357477357617,93.5849180015535,0,0
Track_64,997.6605498192765,1085.3126941961038,0,0
Track_1799,183.58823123905967,196.15788611546864,1,0
Track_2156,189.60558162294652,179.98738873301264,0,0
Track_1744,463.84100853383126,504.4582697621682,0,0
Track_30,452.63844739962957,634.9967168756064,0,0
Track_1398,88.54012618149743,105.60181177237769,1,1
Track_35,255.08982108652975,271.6673868059561,1,0
Track_3430,44.68340038733301,51.4138757168193,0,0
Track_1725,1198.1105153347426,1920.9316251036425,1,1
Track_354,367.36568254308173,274.11025561134414,0,0
Track_75,2035.4444028047535,1861.942941595632,0,0
Track_2412,569.1339675519035,612.2188955327609,1,0
Track_3233,132.14251577598316,151.9931004370288,0,0
Track_3473,138.79927735898787,160.19361293116208,1,1
Track_56,382.4838668946066,367.06516115015984,1,1
Track_1138,156.05580274767962,99.79609526361,0,0
Track_2499,136.35726568230913,84.15928421006002,0,0
Track_3175,140.6339757269933,124.24255908136512,0,0
Track_43,416.1214557482185,492.40442290249507,0,0
Track_919,117.04562649578436,118.0626021799235,0,0
Track_2595,131.1292516841154,161.55278628534072,0,0
Track_2165,47.404720842125535,51.54998264158497,0,0
Track_703,1196.8234477120393,764.904619356411,0,0
Track_1516,369.77338466146676,331.2346389283259,0,0
Track_1468,154.7092684696624,73.7036453695543,1,0
Track_24,1038.2630926713714,762.1468062483111,0,0
Track_324,257.3485517831942,349.6160702790158,0,0
Track_39,1404.148458812791,2004.7986578601633,0,0
Track_31,324.8042714314374,193.77761227309247,1,0
Track_44,128.65775087758163,135.1193907536279,0,0
Track_878,72.12630592950839,78.30389459056678,0,0
Track_3235,59.90233729520438,67.09632818270107,0,0
Track_3040,73.70390973150316,67.91516765104443,0,0
Track_3120,173.83058319779238,203.9883034174616,0,0
Track_1936,205.45996041968252,292.14771058250693,0,0
Track_2358,180.53909501970628,147.96965045277886,0,0
Track_1793,223.92658841984056,307.250302805,0,0
Track_1921,136.55616865865326,114.29794966629356,0,0
Track_2380,51.431040534882996,58.05663237667397,0,0
Track_26,527.9443304301051,397.33168693433447,1,1
Track_1616,137.01930307950371,157.87526068681288,0,0
Track_3126,152.01133384893467,205.92295507118303,0,0
Track_1275,197.76157325565217,137.3844544693212,0,0
Track_3467,267.0745302393746,84.50921637312413,1,1
Track_3425,228.40557012551486,209.331186639777,1,0
Track_2542,211.7090401617621,240.00500978094297,0,0
Track_728,952.8289617497722,1432.5632804148681,0,0
Track_16,255.5220549284639,171.68894852869752,0,0
Track_2553,75.08823244296629,97.2341677444788,0,0
Track_181,62.205821821210314,67.795564305569,0,0
Track_206,308.2410939447886,293.4311513486819,0,0
Track_3578,104.32333709443805,101.88000959196064,1,0
Track_1652,309.2411648730722,173.17186119531254,0,0
Track_5,163.1574532149836,141.89131417413114,1,1
Track_3207,75.41968221725092,78.33720755043844,0,0
Track_2806,322.97639251895686,381.35197440945296,0,0
Track_3237,82.00399530522138,89.37169958812761,0,0
Track_2001,77.66850280683953,73.75292142650629,0,0
Track_2311,73.68293592486106,69.91888438498243,0,0
Track_346,108.44855562733551,109.37395523942273,0,0
Track_1321,229.14208399108054,157.2805179791645,1,0
Track_262,999.137448621884,296.88131169950753,0,0
Track_154,558.0164474180716,607.8177983999739,0,0
Track_2580,107.2352552152284,116.88939732603316,0,0
Track_696,142.82040819490177,169.54516700293334,0,0
Track_2933,206.03050890055783,142.05768481082717,1,1
Track_309,414.9976178477739,543.592669615866,0,0
Track_7,130.2577516827224,168.3502896580693,0,0
Track_114,346.3670515793659,348.64885802486896,0,0
Track_2695,60.71651950625926,60.88943753390596,0,0
Track_27,227.6670051200805,227.08159194526996,0,0
Track_58,523.0422269753567,457.63191614909306,0,0
Track_18,109.6760924682242,144.874769009282,0,0
Track_3337,145.5349116424857,173.22412568458287,0,0
Track_3416,121.93416855520312,126.15764601645344,0,0
Track_41,157.43602321386754,126.37212752247756,0,0
Track_1366,370.24392399198194,439.16853911417206,0,0
Track_127,105.97145217724949,96.23224070829497,0,0
Track_60,584.2877357173377,684.4927846669112,0,0
Track_994,198.02150934766829,190.6200069967726,0,0
Track_2897,204.39600958141872,181.58623961024978,0,0
Track_1083,186.9747521304044,192.34889647567437,0,0
Track_467,303.7147242470523,305.0784014755739,0,0
Track_3097,73.4720515394496,80.90642018822625,0,0
Track_551,236.95455852351117,230.0327430726362,0,0
Track_2669,428.94122306482734,379.651232838768,1,1
Track_1498,278.4315856513696,215.22542332962797,0,0
Track_62,427.60019024000155,252.76042090386065,0,0
Track_646,421.94924987166667,292.78491810078066,0,0
Track_1731,343.5118841353241,332.1892062263439,0,0
Track_1577,637.7060243150698,605.1202723107828,0,0
Track_1565,356.98507855996354,413.3724882492415,0,0
Track_2764,523.978796074623,448.4453870355117,1,0
Track_88,607.827591215037,690.1542713163939,0,0
Track_54,199.6349530029768,189.50861291622132,0,0
Track_723,135.41169633047005,82.11623020228018,0,0
Track_91,230.76661225877214,248.81943221662883,0,0
Track_15,613.5072797444526,885.389021114385,1,0
Track_1901,127.2489258074594,147.68026319473856,0,0
Track_1699,131.94967094339475,137.34726788188118,0,0
Track_47,632.0197457582241,422.25687675292903,1,0
Track_1997,293.96714570908347,244.0307452426741,0,0
Track_291,146.09461672702741,167.46136572661928,0,0
Track_1290,547.851645371885,634.2512585140676,0,0
Track_57,75.40817404820856,55.034798345893165,0,0
Track_752,729.7563393681456,559.7810633367872,1,1
Track_2169,301.1131309508131,344.3266738771879,0,0
Track_865,112.41781414109741,108.74196659636733,0,0
Track_666,98.78730977705862,84.97092056482498,0,0
Track_992,149.88493786529796,156.44127243264316,0,0
Track_326,198.0788445371561,171.19308311105942,0,0
Track_961,284.35155373460503,175.69709363383126,0,0
Track_3184,151.26774287872107,151.82715492808975,0,0
Track_1177,216.08382904832263,191.04364832698508,0,0
Track_2730,171.43890538987242,93.39538040537369,1,1
Track_2611,389.60042873582313,366.28820855389324,0,0
Track_780,46.5672912653422,48.405481554347354,0,0
Track_1157,62.53379618824975,82.10060985965909,0,0
Track_12,255.8803647901146,222.4401448882386,0,0
Track_45,200.60549835984258,253.87512863698788,0,0
Track_118,146.12580415162455,147.85718338813072,0,0
Track_3477,103.99335398574574,65.85864072251086,0,0
Track_8,128.03451808021856,134.74051090993927,0,0
Track_3339,64.1297553932647,63.41999518957685,1,0
Track_412,289.7050325520493,216.26211562313458,1,1
Track_20,184.01225769843418,202.1359919592703,0,0
Track_1532,394.1705237287999,219.3844506571792,0,0
Track_117,841.9995121279742,878.5566569831484,0,0
Track_2005,121.02441054914682,129.86315317073536,0,0
Track_1003,283.2009127234663,316.6044459155148,0,0
Track_90,241.9592978687088,261.5517709962871,0,0
Track_128,983.7930195603004,1204.095867836685,0,0
Track_2117,696.65037765578,308.43900252068124,1,0
Track_1521,296.95047590287675,283.05243419513744,0,0
Track_2235,258.46890129708356,263.74567162615807,0,0
